token.id	token
1	"agenc"
2	"type"
3	"seat"
4	"safeti"
5	"manufactur"
6	"geier"
7	"belt"
8	"feder"
9	"standard"
10	"seatbelt"
11	"court"
12	"law"
13	"object"
14	"case"
15	"minimum"
16	"state"
17	"cost"
18	"option"
19	"justic"
20	"instal"
21	"posit"
22	"make"
23	"time"
24	"practic"
25	"child"
26	"tort"
27	"shoulder"
28	"rule"
29	"govern"
30	"juri"
31	"recogn"
32	"preempt"
33	"issu"
34	"clear"
35	"mandat"
36	"children"
37	"common"
38	"encourag"
39	"rear"
40	"lap"
41	"aisl"
42	"impos"
43	"car"
44	"requir"
45	"decid"
46	"design"
47	"flexibl"
48	"choic"
49	"conflict"
50	"center"
51	"suit"
52	"statut"
53	"vehicl"
54	"put"
55	"specif"
56	"preemption"
57	"question"
58	"save"
59	"rulemak"
60	"claus"
61	"back"
62	"frustrat"
63	"creat"
64	"chief"
65	"situat"
66	"adopt"
67	"benefit"
68	"record"
69	"feasibl"
70	"agency'"
71	"claim"
72	"scalia"
73	"kind"
74	"determin"
75	"set"
76	"point"
77	"congress"
78	"row"
79	"decis"
80	"gener"
81	"polici"
82	"side"
83	"correct"
84	"regulatori"
85	"understand"
86	"thought"
87	"versu"
88	"varieti"
89	"sens"
90	"risk"
91	"safer"
92	"motor"
93	"uniqu"
94	"histori"
95	"found"
96	"advanc"
97	"theori"
98	"thing"
99	"serv"
100	"matter"
101	"simpli"
102	"liabil"
103	"effect"
104	"booster"
105	"choos"
106	"gave"
107	"preserv"
108	"forward"
109	"call"
110	"account"
111	"light"
112	"petition"
113	"harm"
114	"agre"
115	"perfectli"
116	"system"
117	"express"
118	"sotomayor"
119	"view"
120	"respond"
121	"import"
122	"fleet"
123	"buchanan"
124	"safest"
125	"conclud"
126	"counsel"
127	"intend"
128	"consider"
129	"middl"
130	"passiv"
131	"wyeth"
132	"technolog"
133	"regist"
134	"talk"
135	"base"
136	"directli"
137	"statement"
138	"final"
139	"argument"
140	"fact"
141	"find"
142	"parent"
143	"mazda"
144	"comment"
145	"ultim"
146	"present"
147	"suggest"
148	"restraint"
149	"judgment"
150	"hypothet"
151	"airbag"
152	"resolv"
153	"page"
154	"obstruct"
155	"rare"
156	"court'"
157	"role"
158	"inboard"
159	"tradeoff"
160	"dollar"
161	"compens"
162	"access"
163	"told"
164	"action"
165	"opinion"
166	"injuri"
167	"peopl"
168	"mention"
169	"year"
170	"van"
171	"respons"
172	"play"
173	"letter"
174	"sedan"
175	"involv"
176	"compli"
177	"obstacl"
178	"regul"
179	"anchor"
180	"statutori"
181	"victim"
182	"day"
183	"lap-onli"
184	"refer"
185	"act"
186	"garr"
187	"support"
188	"analysi"
189	"conclus"
190	"made"
191	"consist"
