token.id	token
1	"boy"
2	"kill"
3	"talk"
4	"knife"
5	"guilti"
6	"kid"
7	"heard"
8	"man"
9	"uh"
10	"father"
11	"thing"
12	"suppos"
13	"gonna"
14	"hear"
15	"point"
16	"vote"
17	"minut"
18	"time"
19	"huh"
20	"train"
21	"el"
22	"hous"
23	"make"
24	"window"
25	"listen"
26	"hit"
27	"night"
28	"prove"
29	"live"
30	"year"
31	"court"
32	"day"
33	"life"
34	"run"
35	"boy'"
36	"guy"
37	"lawyer"
38	"bodi"
39	"peopl"
40	"good"
41	"idea"
42	"fella"
43	"pretti"
44	"stand"
45	"rememb"
46	"stab"
47	"case"
48	"pass"
49	"wait"
50	"trial"
51	"call"
52	"hour"
53	"car"
54	"wrong"
55	"sit"
56	"stori"
57	"scream"
58	"secret"
59	"identifi"
60	"home"
61	"fight"
62	"floor"
63	"yell"
64	"woman"
65	"voic"
66	"open"
67	"guess"
68	"put"
69	"back"
70	"street"
71	"mind"
72	"fact"
73	"import"
74	"testimoni"
75	"start"
76	"made"
77	"neighborhood"
78	"fine"
79	"calm"
80	"word"
81	"work"
82	"polic"
83	"panic"
84	"murder"
85	"claim"
86	"lie"
87	"kid'"
88	"gentleman"
89	"bought"
90	"sound"
91	"motiv"
92	"born"
93	"knew"
94	"slum"
95	"question"
96	"long"
97	"head"
98	"yeah"
99	"chair"
100	"brother"
101	"prosecut"
102	"chanc"
103	"wit"
104	"agenc"
105	"movi"
106	"he'd"
107	"ya"
108	"break"
109	"figur"
110	"found"
111	"side"
112	"feel"
113	"kind"
114	"knive"
115	"ran"
116	"slap"
117	"chest"
118	"bright"
119	"state"
120	"interest"
121	"evid"
122	"left"
123	"easi"
124	"leav"
125	"agre"
126	"stay"
127	"forget"
128	"decid"
129	"send"
130	"die"
131	"excit"
132	"argu"
133	"great"
134	"stair"
135	"doubt"
136	"stick"
137	"room"
138	"phrase"
139	"guy'"
140	"turn"
141	"till"
142	"law"
143	"switch"
144	"hard"
145	"stuff"
146	"loud"
147	"top"
148	"matter"
149	"posit"
150	"bet"
151	"argument"
152	"track"
153	"reach"
154	"find"
155	"nois"
156	"detect"
157	"man'"
158	"walk"
159	"assum"
160	"coupl"
161	"threw"
162	"hmm"
163	"real"
164	"convinc"
165	"funni"
166	"split"
167	"sat"
168	"thought"
169	"person"
170	"elev"
171	"could'v"
172	"death"
173	"arrest"
174	"game"
175	"world"
176	"downstair"
177	"begin"
178	"dead"
179	"she'"
180	"roar"
181	"hey"
182	"lot"
183	"caught"
184	"quot"
185	"idiot"
186	"pardon"
187	"dollar"
188	"accur"
189	"sensit"
190	"end"
191	"insignific"
192	"cost"
193	"order"
194	"men"
195	"punch"
196	"met"
197	"juri"
198	"coincid"
199	"strong"
200	"ahead"
201	"anymor"
202	"pick"
203	"here!"
204	"forev"
205	"door"
206	"hole"
207	"mr"
208	"heart"
209	"swore"
210	"answer"
211	"product"
212	"listen!"
213	"pocket"
214	"light"
215	"tale"
216	"move"
217	"obviou"
218	"hot"
219	"strang"
220	"number"
221	"half"
222	"drop"
223	"marmalad"
224	"watchmak"
225	"wast"
226	"'em"
227	"unimport"
228	"final"
229	"friend"
230	"part"
231	"peculiar"
232	"storekeep"
233	"outta"
234	"sell"
235	"built"
236	"note"
237	"foreman"
238	"play"
239	"english"
240	"mouth"
241	"clear"
242	"face"
243	"mister"
